state,county,date,m50_count
Alabama,Coffee County,2020-03-09,98
Alabama,Coffee County,2020-03-10,108
Alabama,Coffee County,2020-03-11,103
Alabama,Coffee County,2020-03-12,100
Alabama,Coffee County,2020-03-13,126
Alabama,Coffee County,2020-03-16,88
Alabama,Coffee County,2020-03-17,83
Alabama,Coffee County,2020-03-18,79
Alabama,Coffee County,2020-03-19,84
Alabama,Coffee County,2020-03-20,76
Alabama,Colbert County,2020-03-02,90
Alabama,Colbert County,2020-03-03,97
Alabama,Colbert County,2020-03-04,93
Alabama,Colbert County,2020-03-05,100
Alabama,Colbert County,2020-03-06,118
Alabama,Colbert County,2020-03-09,94
Alabama,Colbert County,2020-03-10,98
Alabama,Colbert County,2020-03-11,95
Alabama,Colbert County,2020-03-12,101
Alabama,Colbert County,2020-03-13,108
Alabama,Colbert County,2020-03-16,81
Alabama,Colbert County,2020-03-17,76
Alabama,Colbert County,2020-03-18,76
Alabama,Colbert County,2020-03-19,75
Alabama,Colbert County,2020-03-20,76
Alabama,Conecuh County,2020-03-02,100
Alabama,Conecuh County,2020-03-03,102
Alabama,Conecuh County,2020-03-04,82
Alabama,Conecuh County,2020-03-05,86
Alabama,Conecuh County,2020-03-06,121
Alabama,Conecuh County,2020-03-09,70
Alabama,Conecuh County,2020-03-10,61
Alabama,Conecuh County,2020-03-11,107
Alabama,Conecuh County,2020-03-12,118
Alabama,Conecuh County,2020-03-13,163
Alabama,Conecuh County,2020-03-16,83
Alabama,Conecuh County,2020-03-17,118
Alabama,Conecuh County,2020-03-18,97
Alabama,Conecuh County,2020-03-19,113
Alabama,Conecuh County,2020-03-20,75
Alabama,Coosa County,2020-03-02,88
Alabama,Coosa County,2020-03-03,91
Alabama,Coosa County,2020-03-04,88
Alabama,Coosa County,2020-03-05,92
Alabama,Coosa County,2020-03-06,114
Alabama,Coosa County,2020-03-09,89
Alabama,Coosa County,2020-03-10,103
Alabama,Coosa County,2020-03-11,108
Alabama,Coosa County,2020-03-12,102
Alabama,Coosa County,2020-03-13,97
Alabama,Coosa County,2020-03-16,106
Alabama,Coosa County,2020-03-17,82
Alabama,Coosa County,2020-03-18,71
Alabama,Coosa County,2020-03-19,85
Alabama,Coosa County,2020-03-20,85
Alabama,Covington County,2020-03-02,104
Alabama,Covington County,2020-03-03,107
Alabama,Covington County,2020-03-04,92
Alabama,Covington County,2020-03-05,94
Alabama,Covington County,2020-03-06,121
Alabama,Covington County,2020-03-09,102
Alabama,Covington County,2020-03-10,102
Alabama,Covington County,2020-03-11,96
Alabama,Covington County,2020-03-12,107
Alabama,Covington County,2020-03-13,113
Alabama,Covington County,2020-03-16,104
Alabama,Covington County,2020-03-17,88
Alabama,Covington County,2020-03-18,92
Alabama,Covington County,2020-03-19,94
Alabama,Covington County,2020-03-20,90
Alabama,Crenshaw County,2020-03-02,117
Alabama,Crenshaw County,2020-03-03,98
Alabama,Crenshaw County,2020-03-04,90
Alabama,Crenshaw County,2020-03-05,102
Alabama,Crenshaw County,2020-03-06,138
Alabama,Crenshaw County,2020-03-09,119
Alabama,Crenshaw County,2020-03-10,101
Alabama,Crenshaw County,2020-03-11,93
Alabama,Crenshaw County,2020-03-12,108
Alabama,Crenshaw County,2020-03-13,139
Alabama,Crenshaw County,2020-03-16,102
Alabama,Crenshaw County,2020-03-17,85
Alabama,Crenshaw County,2020-03-18,69
Alabama,Crenshaw County,2020-03-19,77
Alabama,Crenshaw County,2020-03-20,94
Alabama,Cullman County,2020-03-02,91
Alabama,Cullman County,2020-03-03,96
Alabama,Cullman County,2020-03-04,96
Alabama,Cullman County,2020-03-05,101
Alabama,Cullman County,2020-03-06,112
Alabama,Cullman County,2020-03-09,94
Alabama,Cullman County,2020-03-10,97
Alabama,Cullman County,2020-03-11,96
Alabama,Cullman County,2020-03-12,107
Alabama,Cullman County,2020-03-13,109
Alabama,Cullman County,2020-03-16,86
Alabama,Cullman County,2020-03-17,79
Alabama,Cullman County,2020-03-18,73
Alabama,Cullman County,2020-03-19,78
Alabama,Cullman County,2020-03-20,76
Alabama,Dale County,2020-03-02,104
Alabama,Dale County,2020-03-03,98
Alabama,Dale County,2020-03-04,88
Alabama,Dale County,2020-03-05,97
Alabama,Dale County,2020-03-06,120
Alabama,Dale County,2020-03-09,99
Alabama,Dale County,2020-03-10,100
Alabama,Dale County,2020-03-11,98
Alabama,Dale County,2020-03-12,106
Alabama,Dale County,2020-03-13,115
Alabama,Dale County,2020-03-16,95
Alabama,Dale County,2020-03-17,89
Alabama,Dale County,2020-03-18,76
Alabama,Dale County,2020-03-19,86
Alabama,Dale County,2020-03-20,90
Alabama,Dallas County,2020-03-02,105
Alabama,Dallas County,2020-03-03,107
